"year","plant_name","aea_energy_region","source","data_version","fuel_type","generation","acep_region"
2011,"Slana","Copper River/Chugach","PCE","Final","Hydro",NA,"Coastal"
2011,"Slana","Copper River/Chugach","PCE","Final","Wind",NA,"Coastal"
2011,"Slana","Copper River/Chugach","PCE","Final","Solar",NA,"Coastal"
2011,"Slana","Copper River/Chugach","PCE","Final","Storage",NA,"Coastal"
2011,"Slana","Copper River/Chugach","PCE","Final","Other",NA,"Coastal"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Oil",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Gas",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Coal",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Wind",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Solar",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Storage",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Other",NA,"Rural Remote"
2011,"False Island","Southeast","EIA","Final","Oil",929,"Coastal"
2011,"False Island","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"False Island","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"False Island","Southeast","EIA","Final","Hydro",NA,"Coastal"
2011,"False Island","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"False Island","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"False Island","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"False Island","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Thorne Bay Plant","Southeast","EIA","Final","Oil",119,"Coastal"
2011,"Thorne Bay Plant","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Thorne Bay Plant","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Thorne Bay Plant","Southeast","EIA","Final","Hydro",NA,"Coastal"
2011,"Thorne Bay Plant","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Thorne Bay Plant","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Thorne Bay Plant","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Thorne Bay Plant","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Oil",10400,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Gas",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Coal",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Wind",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Solar",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Storage",NA,"Rural Remote"
2011,"Tok","Yukon-Koyukuk/Upper Tanana","PCE","Final","Other",NA,"Rural Remote"
2011,"Whale Pass","Southeast","PCE","Final","Oil",267.042,"Coastal"
2011,"Whale Pass","Southeast","PCE","Final","Gas",NA,"Coastal"
2011,"Whale Pass","Southeast","PCE","Final","Coal",NA,"Coastal"
2011,"Whale Pass","Southeast","PCE","Final","Hydro",NA,"Coastal"
2011,"Whale Pass","Southeast","PCE","Final","Wind",NA,"Coastal"
2011,"Whale Pass","Southeast","PCE","Final","Solar",NA,"Coastal"
2011,"Whale Pass","Southeast","PCE","Final","Storage",NA,"Coastal"
2011,"Whale Pass","Southeast","PCE","Final","Other",NA,"Coastal"
2011,"Alakanuk","Lower Yukon-Kuskokwim","PCE","Final","Oil",1946.208,"Rural Remote"
2011,"Alakanuk","Lower Yukon-Kuskokwim","PCE","Final","Gas",NA,"Rural Remote"
2011,"Alakanuk","Lower Yukon-Kuskokwim","PCE","Final","Coal",NA,"Rural Remote"
2011,"Alakanuk","Lower Yukon-Kuskokwim","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Alakanuk","Lower Yukon-Kuskokwim","PCE","Final","Wind",NA,"Rural Remote"
2011,"Alakanuk","Lower Yukon-Kuskokwim","PCE","Final","Solar",NA,"Rural Remote"
2011,"Alakanuk","Lower Yukon-Kuskokwim","PCE","Final","Storage",NA,"Rural Remote"
2011,"Alakanuk","Lower Yukon-Kuskokwim","PCE","Final","Other",NA,"Rural Remote"
2011,"Ambler","Northwest Arctic","PCE","Final","Oil",1277.774,"Rural Remote"
2011,"Ambler","Northwest Arctic","PCE","Final","Gas",NA,"Rural Remote"
2011,"Ambler","Northwest Arctic","PCE","Final","Coal",NA,"Rural Remote"
